text,label,processed
Jelek filmnya... apalagi si ernest gak mutu bgt actingnya... film sampah,negative,"['jelek', 'filmnya', 'ernest', 'enggak', 'mutu', 'banget', 'actingnya', 'film', 'sampah']"
Film king Arthur ini film paling jelek dari seluruh cerita King Arthur ,negative,"['film', 'king', 'arthur', 'film', 'jelek', 'cerita', 'king', 'arthur']"
@beexkuanlin Sepanjang film gwa berkata kasar terus pada bapaknya,negative,"['film', 'gwa', 'kasar', 'bapaknya']"
Ane ga suka fast and furious..menurutku kok jelek ya tu film,negative,"['ane', 'enggak', 'suka', 'fast', 'and', 'furiousmenurutku', 'jelek', 'film']"
"@baekhyun36 kan gua ga tau film nya, lu bilang perang perangan/? Perang""an disebut ama rp yaoi jadi ambigu :v",negative,"['gua', 'enggak', 'film', 'lu', 'bilang-bilang', 'perang', 'perangan', 'perangan', 'rp', 'yaoi', 'ambigu']"
tolong editingnya yg bagus ya. Saya sering kecewa dgn film indonesia. Ditunggu filmnya!!,negative,"['tolong', 'editingnya', 'bagus', 'kecewa', 'film', 'indonesia', 'ditunggu', 'filmnya']"
"Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini.",negative,"['kecewa', 'salah', 'aktornya', 'pendukung', 'penista', 'agama', 'ah', 'bersabar', 'menonton', 'film']"
Kecewa parah sama film the guys. Dear @radityadika sorry to say this.,negative,"['kecewa', 'parah', 'film', 'the', 'guys', 'dear', 'sorry', 'sayang', 'this']"
Banyak yg kecewa abis nonton film ini :(,negative,"['kecewa', 'habis', 'menonton', 'film']"
#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.,negative,"['film', 'memgecewakan', 'hidup', 'berekspektasi', 'suka', 'banget', 'mesir', 'kuno']"
"film jelek, jelas. Ga ada isinya. ",negative,"['film', 'jelek', 'jelas-jelas', 'enggak', 'isinya']"
awal bulan ini nonton dua film Indonesia di bioskop: kartini dan critical eleven. penggambaran kartini dan ale juga anya terlalu lemah. :( ,negative,"['menonton', 'film', 'indonesia', 'bioskop', 'kartini', 'critical', 'eleven', 'penggambaran', 'kartini', 'ale', 'anya', 'lemah']"
"Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi",negative,"['menonton', 'film', 'miris', 'jaman', 'jaman', 'bangsa', 'bodoh', 'serakah', 'gila', 'kawin', 'ironis']"
