full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
"@safergieway @PSSI True bang. bener² ga ngerti sih cara mainnya pssi, pelatih kelas dunia mah bisa kapan ajaa. kalo kompetisi ga jalan yaa percuma wkwk timnas cowok aja yg punya kompetisi setengah mati pengen prestasi",true bang mengerti mainnya pssi pelatih kelas dunia mah kompetisi jalan wkwk timnas cowok kompetisi mati pengin prestasi,Negatif,0.071555965,0.9109038,0.017540263
Padahal buat jam terbang dan latihan kan kalo ada liga dan klub ya timnas aja mainnya per berapa tahun dl 😅,jam terbang latihan liga klub timnas mainnya tahun-tahun,Negatif,0.43943194,0.44771618,0.112851925
@garagarabola_ Lebih penting timnas bagus mainnya daripada segala Jersey aja dikerenin🤭,timnas bagus mainnya jersey dikerenin,Positif,0.02343555,0.29014224,0.6864222
"@Tyows pdhal Pemain Timnas inggris nih gw rasa gada 1 pun Midfielder yg gaya mainnya kyak Mainoo,kenapa masih ga sat set buat manggil dia wkwk",pemain timnas inggris gue enggak ada midfielder gaya mainnya kayak mainookenapa sat set manggil wkwk,Negatif,0.13328385,0.66810375,0.19861232
"@utdfocusid @bliblidotcom Semuanya out kecuali hojlund, diganti sm pemain2 timnas kcuali Struick wkwk mainnya masih bagusan timnas kmrn cok",out kecuali hojlund diganti pemain timnas kcuali struick wkwk mainnya bagusan timnas kemarin cok,Netral,0.47366843,0.449844,0.076487556
"@HusniSeeban Klo bener begini cara mainnya, bisa botak kepalaku ngelayani mereka.   Dugaan begini dah diketahui TIMNAS Amin gak ya?",mainnya botak kepalaku ngelayani dugaan deh timnas amin,Positif,0.012018566,0.40860373,0.5793777
"Doni kalo mainnya makin drop posisinya di timnas bisa terancam, siap2 digeser Luvi",doni mainnya drop posisinya timnas terancam digeser luvi,Negatif,0.18226123,0.7195832,0.0981556
"@SiaranBolaLive Sepanjang gelaran turnamen piala asia, tiap timnas lakuin pergantian pemain, dimana udah pasti pemain yang masuk dari bench itu pemain dari liga 1 udah pasti permainan timnas menurun. Makanya timnas kita mainnya selalu oke dibabak pertama.",gelaran turnamen piala asia timnas pergantian pemain dimana-mana pemain masuk bench pemain liga permainan timnas menurun timnas mainnya oke dibabak,Negatif,0.36695087,0.50098854,0.13206057
"@senum_girls19 @sachet_kemasan Silva di timnas kuba mainnya MB, pelatih kalau mau radikal bisa aja pasang MB, OPnya Moon JiYoon",girls kemasan silva timnas kuba mainnya mbak pelatih radikal pasang mbak opnya moon jiyoon,Netral,0.72588116,0.21244559,0.061673187
@1708Lisna apakah mainnya brutal seperti timnas vietnam?,mainnya brutal timnas vietnam,Negatif,0.37957013,0.4406373,0.17979251
@MafiaWasit Udah dibilang timnas mainnya di Batakan ae,dibilang timnas mainnya batakan,Negatif,0.25827175,0.53819835,0.20352986
"@_adrieedu mau tambah contoh kasus lg? ada arhan tuh. gausa dijelasin lg kondisi dia di verdy gmn, tp pas masuk piala asia, okey tuh mainnya. okey di atas lu bilang jairo bukan pemain muda. tp umur dia masi mateng buat jd pemain reguler, apalagi main di timnas yg peringkatnya bukan 100 fifa",adrieedu contoh arhan enggak usah dijelasin kondisi verdy pas masuk piala asia okey mainnya okey lu bilang-bilang jairo pemain muda umur mateng pemain reguler main timnas peringkatnya fifa,Negatif,0.016523492,0.96231294,0.021163587
@rintisell ehh iyaaa kak si ran itu aku liat emg banyak fansnya yaa. mutualku yg ngehype voli kayak mostly suka jg sama si ran itu. ran mainnya cuma di timnas japan aja atau ada di klub gitu kak?? dan nontonnya tuh kalo voli dimana sih kak streamingnya? 😭,eh iya kak ran lihat fansnya mutualku ngehype voli kayak mostly suka ran ran mainnya timnas japan klub kak nontonnya voli dimana-mana kak streamingnya,Positif,0.055613052,0.41649646,0.5278905
"@eamsyachreza @MafiaWasit Hah? Lucu....   Lah terus kenapa Timnas Inggris waktu kualifikasi Euro ngalah sama Musisi? Malah Timnas Inggris mainnya di OT.  Stadion yang dipake Barcelona sekarang, sebelum musimnya mulai aja masih sempet tuh dipake konser Coldplay berhari2.",hah lucu timnas inggris kualifikasi euro mengalah musisi timnas inggris mainnya ot stadion dipakai barcelona musimnya dipakai konser coldplay berhari,Negatif,0.28452653,0.6342003,0.08127322
"@VNCSOOYA_10 @fakeforlive @barcastuff_idn Gw nonton semua match timnas jerman era nagelsmann juga gk jauh beda gaya mainnya ama flick, apalagi pas kalah ama austria dan turki, emang pemain2 jerman aja banyak yg ngedrop.",idn gue menonton match timnas jerman era nagelsmann beda gaya mainnya flick pas kalah austria turki pemain jerman ngedrop,Negatif,0.14258042,0.46545073,0.39196888
