full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
Padahal buat jam terbang dan latihan kan kalo ada liga dan klub ya timnas aja mainnya per berapa tahun dl 😅,jam terbang latih liga klub timnas main,Netral,0.85009944,0.09841969,0.05148085
"@Tyows pdhal Pemain Timnas inggris nih gw rasa gada 1 pun Midfielder yg gaya mainnya kyak Mainoo,kenapa masih ga sat set buat manggil dia wkwk",main timnas inggris gue enggak ada midfielder gaya main kayak mainookenapa sat set manggil wkwk,Netral,0.42566127,0.2556535,0.31868526
@1708Lisna apakah mainnya brutal seperti timnas vietnam?,main brutal timnas vietnam,Netral,0.40914443,0.24031094,0.3505447
"@hari_coupetz @smpkcng @UpdateBolabola bener sih 😅 cuma kalo mau melebarkan konteksnya, timnas jg lanjutan kualifikasi pildun mainnya di bulan ini. malahan mepet sehari sama perkiraan hari pengumuman hasil akhir rekap KPU. itu sih yg juga jadi concern bang~",coupetz lebar konteks timnas kualifikasi pildun main mepet hasil rekap kpu concern bang,Netral,0.3785092,0.27091578,0.350575
"@CTsubasa_indo Di bagian ini kurang masuk akal, kiper legendaris tapi mainnya di timnas kelompok umur",indonesia masuk akal kiper legendaris main timnas kelompok umur,Netral,0.40500563,0.34907216,0.24592221
"@idextratime Mari berandai-andai timnas mainnya di Asian Cup kaya di eAsian Cup. Mungkin belum sekarang, semoga tahun yang akan datang mainnya sekeren ini.   https://t.co/9ZDKGG3dTM",mari berandaiandai timnas main asi cup kayak easian cup moga main keren,Netral,0.36167547,0.2776252,0.36069933
Edo abis balik dari timnas malah jadi tarkam gini mainnya wkwk,edo habis timnas tarkam main wkwk,Netral,0.48864946,0.32148695,0.18986355
@gilabola_ina Nggaklah. Kl mau ET bisa aja datengin sekelas Jose Mourinho (utk bikin Timnas jd tim yg mainnya pragmatis ala dia).  Sebaiknya jgn ganti² pelatih.,ina nggaklah et datengin kelas jose mourinho timnas tim main pragmatis ala ganti latih,Netral,0.35042647,0.3481003,0.30147326
@PorosHalangID Persis dg gaya tiMnas di piala Asia kmrn mainnya👍😁,persis gaya timnas piala asia kemarin main,Netral,0.46369332,0.21170047,0.32460618
"@iyehgitu @gilabola_ina “Berapa kali ganti pelatih dan gagal?” “Progressnya ada peningkatan.” “Ngajarin cara passing.”  Squad kemarin di piala asia dan sebelumnya di kualifikasi PD, itu banyak pemain keturunan. BANYAK. DAN GA ADA PELATIH TIMNAS LAIN YANG PUNYA PRIVILEGE ITU.  Tapi nyatanya mainnya sama.",ina kali ganti latih gagal progressnya tingkat ajar passing squad kemarin piala asia kualifikasi main turun latih timnas privilege nyata main,Netral,0.48173165,0.26250312,0.25576526
