label,text
2,"['warung', 'milik', 'usaha', 'pabrik', 'puluh', 'kenal', 'putih', 'bandung', 'kualitas', 'padu', 'ahli', 'masak', 'padu', 'kretivitas', 'warung', 'saji', 'menu', 'utama', 'bahan', 'tambah', 'menu', 'ayam', 'selera', 'indonesia', 'harga', 'jangkau', 'lewat', 'bletoka', 'kalah', 'asli', 'tegal']"
0,"['mohon', 'ulama', 'lurus', 'mmbri', 'hujjah', 'partai', 'diwlh', 'suara', 'islam', 'pecahpecah']"
2,"['lokasi', 'strategis', 'jalan', 'sumatera', 'bandung', 'nyaman', 'sofa', 'lantai', 'paella', 'enak', 'pas', 'makan', 'minum', 'bir', 'dingin', 'appetiser', 'enakenak']"
2,"['betapa', 'bahagia', 'unboxing', 'paket', 'barang', 'bagus', 'tetap', 'beli']"
1,"['duh', 'mahasiswa', 'sombong', 'kasih', 'kartu', 'kuning', 'ajar', 'usah', 'ikutikut', 'politik', 'selesai', 'kuliah', 'politik', 'telat', 'dasar', 'mahasiswa']"
2,"['makan', 'agam', 'harga', 'makan', 'food', 'stall', 'kasir', 'suasana', 'ramai', 'perhati', 'parkir', 'duduk']"
1,"['pakai', 'kartu', 'kredit', 'baca', 'untung', 'rugi']"
2,"['unik', 'bagus', 'foto', 'makan', 'enak', 'pegawai', 'ramah', 'bersih', 'luas', 'wifi', 'kencang', 'harga', 'standar', 'sesuai', 'menu', 'masakan', 'makan', 'barat', 'indonesia', 'menu', 'favorit', 'lychee', 'mojito', 'spagheti']"
2,"['keluarga', 'nikmat', 'alam', 'kuliner', 'senang', 'rm', 'sari', 'sunda', 'jalan', 'setiabudhi', 'bandung', 'hubung', 'rm', 'sari', 'sunda', 'jalan', 'setiabudhi', 'tulis', 'maaf', 'rekanrekan', 'baca', 'bingung', 'suka', 'restoran', 'layan', 'restoran', 'bilang', 'cepat']"
2,['syukur']
1,"['simcard', 'indosat', 'inaktiv', 'garagara', 'lupa', 'isi', 'pulsa', 'kabar', 'aktif', 'pinda', 'pasca', 'bayar', 'ribet', 'banget']"
1,"['sifat', 'iri', 'muncul', 'orang', 'orang', 'tuju', 'hidup']"
2,"['cerita', 'alam', 'pesan', 'steak', 'grilled', 'beef', 'saji', 'steak', 'potong', 'buruk', 'kualitas', 'daging', 'enggan', 'mes', 'menu', 'beef', 'khusus', 'sirloin', 'lemak', 'ukur', 'steak', 'menumenu', 'tempel', 'lidah', 'saran', 'beli', 'menu', 'label', 'cheese', 'lanjut']"
1,"['alam', 'indosat', 'moga', 'langgan', 'marahmarah', 'layan', 'langgan', 'indosat']"
1,"['anak', 'sulit', 'nasehat']"
1,"['atas', 'kayak', 'begini', 'anies', 'sandi', 'becus', 'pasu', 'bersih']"
0,"['bumn', 'bentuk', 'uu', 'bentuk', 'uu']"
2,"['habis', 'puas', 'main', 'trans', 'studio', 'bandung', 'teman', 'sepakat', 'makan', 'ayam', 'kakek', 'ayam', 'enak', 'gurih']"
2,"['bakso', 'cuanki', 'batagor', 'ramai', 'unjung', 'buka', 'jam', 'pagi', 'jalan', 'riau', 'jalan', 'yani', 'sisi', 'kiri', 'jalan', 'jalan', 'anggrek', 'harga', 'porsi', 'rp', 'datang', 'ramai', 'unjung']"
2,"['sgwr', 'dampak', 'positif', 'hobi', 'anakanak']"
2,"['lembang', 'pandang', 'indah', 'udara', 'sejuk', 'tata', 'resto', 'bagus', 'lengkap', 'makan', 'nikmat', 'pilih', 'menu', 'agam', 'minum', 'lengkap', 'lingkung', 'cocok', 'makan', 'dua', 'pasang', 'bawa', 'keluarga', 'teman', 'lapang', 'parkir', 'luas', 'restoran', 'konsep', 'buka', 'udara', 'lembang', 'sejuk']"
2,"['buka', 'puasa', 'minggu', 'lepas', 'supir', 'cadang', 'makan', 'makan', 'sedap', 'harga', 'patut', 'luas', 'cantik', 'rekomendasi', 'too', 'others', 'tapi', 'dine', 'ini', 'here', 'tapi', 'authentic', 'sunda', 'makan', 'indonesia']"
2,"['hahaha', 'suka', 'banget', 'tonton', 'kartun', 'indonesia', 'keluarga', 'tomat']"
2,"['temanteman', 'kunjung', 'bandung', 'mampir', 'kopi', 'anjis', 'makan', 'makan', 'berat', 'cilok', 'rakyat', 'teman', 'teh', 'sereh', 'lekker']"
2,"['restoran', 'keluarga', 'makan', 'malam', 'bandung', 'orang', 'an', 'benarbenar', 'murah', 'riah', 'makan', 'doubledouble', 'makan', 'enak', 'suasana', 'kafe', 'tarik', 'layan', 'bagus', 'tunjuk', 'toilet', 'restoran', 'men', 'tapi', 'the', 'pergi', 'momen', 'are', 'ribut', 'hahahaha', 'timpal']"
1,"['alhamdulillah', 'jalan', 'bugel', 'kesal', 'melulu', 'sempit', 'arah', 'macet', 'makan', 'seharihari']"
1,"['respon', 'sayang', 'rem', 'asli', 'rom', 'distrobitor']"
2,"['lokasi', 'pandang', 'alam', 'natural', 'indah', 'suasana', 'sejuk', 'tenang', 'nyamuk', 'harga', 'makan', 'relatif', 'mahal']"
0,"['pdip', 'ridwan', 'kamil', 'menang', 'baju', 'merah']"
1,"['malu', 'maluin', 'oknum', 'tanggung']"
1,"['makan', 'siang', 'asyik', 'nuansa', 'bal', 'music', 'musik', 'sunda', 'kadang', 'musik', 'khas', 'bal', 'ganti', 'enak', 'adem', 'sayang', 'pesan', 'kopi', 'banget', 'kali', 'kali', 'iya', 'iya', 'jam', 'kopi', 'kopi', 'panas', 'kopi', 'adek', 'kah', 'ciri', 'khas', 'kopi', 'khas', 'kopi', 'dingin', 'enak']"
2,"['steak', 'bandung', 'zaman', 'setiabudi', 'buka', 'cabang', 'riau', 'riau', 'parkir', 'sulit', 'setiabudi', 'lokasi', 'kuliner', 'jalan', 'riau', 'porsi', 'harga', 'pas', 'ukur', 'steak', 'zoom', 'non', 'smoking', 'nyaman']"
0,"['datang', 'presiden', 'ri', 'rombong', 'gate', 'terminal', 'sambut', 'menteri', 'hubung', 'menteri', 'bumn', 'gubernur', 'banten', 'dirjen', 'perkeretaapian', 'kemhub', 'dirut', 'apa', 'dirut', 'pt', 'dirut', 'railink']"
2,"['makan', 'tradisional', 'stabil', 'iga', 'garang', 'asam', 'java', 'steak', 'lupa', 'coba', 'hidang', 'tutup', 'kue', 'enak', 'lemper', 'soes', 'fla', 'gulung', 'enak', 'enak', 'makan']"
2,"['batagor', 'enak', 'kota', 'bandung', 'banding', 'batagor', 'coba', 'bumbu', 'kacang', 'pas', 'lidah', 'batagor', 'amis', 'bau', 'sila', 'coba', 'coba']"
2,"['aroma', 'khas', 'makan', 'daun', 'pisang', 'ramai', 'favourit', 'bandung']"
2,"['keluarga', 'jalan', 'daerah', 'lembang', 'sengaja', 'mampir', 'makan', 'resto', 'suasana', 'nyaman', 'layan', 'ramah', 'ala', 'puas', 'makan', 'saji', 'standar', 'makan', 'restoran', 'beda', 'sambal', 'stroberi', 'yummy', 'tagih', 'makan', 'petik', 'lanjut']"
0,"['risma', 'jatuh', 'pilih', 'gus', 'ipul', 'puti', 'pilgub', 'jatim']"
2,"['alam', 'seru', 'makan', 'alas', 'piring', 'alas', 'daun', 'nikmat', 'makan', 'sunda', 'variatif', 'enak', 'tips', 'bawa', 'emosi', 'kalap', 'mes', 'pilih', 'makan', 'sedia', 'kalap', 'makan', 'macammacam', 'pilih']"
2,"['makan', 'enak', 'suasana', 'nyaman', 'harga', 'bilang', 'restoran', 'konsep', 'kenal', 'menu', 'jepang', 'enak']"
2,"['kampung', 'daun', 'makan', 'satu', 'konsep', 'alam', 'budaya', 'daerah', 'kompleks', 'rumah', 'luas', 'saung', 'makan', 'kapasitas', 'kualitas', 'makan', 'enak', 'suara', 'riak', 'air', 'air', 'terjun', 'suasana', 'nyaman', 'makan']"
2,"['pesan', 'nasi', 'goreng', 'kentang', 'goreng', 'nasi', 'goreng', 'suka', 'kentang', 'goreng', 'enak', 'banget', 'presentasi', 'bagus', 'keluarga', 'kopi', 'enak', 'luas', 'lihat', 'pandang', 'dusun', 'bambu', 'layan', 'cepat', 'kali', 'pesan', 'harga', 'mahal', 'makan', 'enak', 'bayar', 'pikir', 'kali']"
2,"['makan', 'sunda', 'tebar', 'kota', 'bandung', 'jatuh', 'hati', 'warung', 'makan', 'imas', 'alunalun', 'kota', 'bandung', 'suguh', 'rumah', 'makan', 'sunda', 'karakter', 'warung', 'nasi', 'zaman', 'ambil', 'hidang', 'proses', 'order', 'jumpa', 'warung', 'makan']"
0,"['hai', 'tolong', 'bantu', 'input', 'resi', 'jne', 'nomor', 'resi', 'pakai']"
2,"['foods', 'menu', 'cheeseburger', 'oke', 'banget', 'chicken', 'wings', 'pizza', 'hut', 'juara', 'rilis', 'mixing', 'green', 'tea', 'yakult', 'perfect', 'satusatunya', 'kurang', 'pizza', 'hut', 'pinggir']"
2,"['dusun', 'bambu', 'golong', 'bandung', 'banget', 'almamater', 'gampang', 'cari', 'pandang', 'bagus', 'makan', 'enakenak', 'beli', 'pakai', 'voucher']"
1,['muas']
1,"['suruh', 'kaca', 'main', 'dasar', 'oneng', 'omong', 'ala', 'betawi', 'lu', 'kampung']"
1,"['kafe', 'saji', 'sensasi', 'makan', 'gelap', 'unik', 'orang', 'jarang', 'tarik', 'coba']"
2,"['sesuai', 'nama', 'mi', 'awie', 'kedai', 'makan', 'sedia', 'menu', 'mi', 'olah', 'daging', 'babi', 'mi', 'pilih', 'nasi', 'goreng', 'babi', 'capjay', 'goreng', 'bakso', 'pangsit', 'coba', 'menu', 'mi', 'babi', 'casau', 'special', 'enak', 'banget']"
0,"['mardani', 'ali', 'sera', 'menang', 'sosial', 'media', 'menang', 'dunia', 'nyata']"
2,"['kafe', 'sekaramg', 'inap', 'boutique', 'hotel', 'travel', 'bareng', 'anakanak', 'suka', 'inap', 'playground', 'seru', 'swimming', 'pool', 'high', 'rope', 'flying', 'fox', 'inap', 'tiket', 'gratis', 'petik', 'stroberi', 'pesan', 'suka', 'ramai', 'inap', 'pilih', 'kamar', 'enak']"
