text,label,processed
<USER_MENTION> #BOIKOT_<PROVIDER_NAME> Gunakan Produk Bangsa Sendiri <PROVIDER_NAME>,positive,"['usermention', 'providername', 'produk', 'bangsa', 'providername']"
"Saktinya balik lagi, alhamdulillah :v <PROVIDER_NAME>",positive,"['saktinya', 'alhamdulillah', 'providername']"
Selamat pagi <PROVIDER_NAME>  bisa bantu kenapa di dalam kamar sinyal 4G hilang yang 1 lagi panggilan darurat saja  <URL>,negative,"['selamat', 'pagi', 'providername', 'bantu', 'kamar', 'sinyal', 'hilang', 'panggilan', 'darurat', 'url']"
Dear <PROVIDER_NAME> akhir2 ini jaringan data lemot banget padahal H+ !!!!,negative,"['dear', 'providername', 'jaringan', 'data', 'lemot', 'banget']"
Selamat malam PENDUSTA <PROVIDER_NAME> ,negative,"['selamat', 'malam', 'pendusta', 'providername']"
Untuk penembakan paket dari <PRODUCT_NAME> masih gangguan ya <PROVIDER_NAME>,negative,"['penembakan', 'paket', 'productname', 'gangguan', 'providername']"
"<PROVIDER_NAME>  aku pakai <PROVIDER_NAME>, paket <PRODUCT_NAME> nya udah off tapi gantinya ada paket <PRODUCT_NAME> yg bisa gratisan youtube, senang banget <PROVIDER_NAME>",positive,"['providername', 'pakai', 'providername', 'paket', 'productname', 'off', 'gantinya', 'paket', 'productname', 'gratisan', 'youtube', 'senang', 'banget', 'providername']"
RT <USER_MENTION>: <PROVIDER_NAME> tak ada lagi dalam kamus perhapean saya. #Boikot<PROVIDER_NAME> <URL>,negative,"['usermention', 'providername', 'kamus', 'perhapean', 'providername', 'url']"
keluhan gak ditanggapi. bikin emosi aja. pulsaku dicuri terus. soak deh. masa setiap hari pulsa berkurang 1500-2100 bisa 2-3*/hari,negative,"['keluhan', 'enggak', 'ditanggapi', 'emosi', 'pulsaku', 'dicuri', 'soak', 'deh', 'pulsa', 'berkurang']"
#Bilboard iklan <PROVIDER_NAME> kok ada pesan tersembunyi? #Boikot<PROVIDER_NAME> #Ramadhan <URL>,negative,"['iklan', 'providername', 'pesan', 'tersembunyi', 'providername', 'url']"
"<PROVIDER_NAME> mampus!!!!! bulan puasa, subuh2 mau sahur cek pulsa tersedot terus. dan sekarang sisa 30 ribu <PROVIDER_NAME> Tolong dibaca!!!",negative,"['providername', 'mampus', 'puasa', 'subuh', 'sahur', 'cek', 'pulsa', 'tersedot', 'sisa', 'ribu', 'providername', 'tolong', 'dibaca']"
<USER_MENTION> Pernah coba pakai <PROVIDER_NAME> tapi parah koneksinya ,negative,"['usermention', 'coba', 'pakai', 'providername', 'parah', 'koneksinya']"
"Setuju, <USER_MENTION> silahkan boikot saja pelanggan <PROVIDER_NAME> pendukung #HRS <URL>",negative,"['setuju', 'usermention', 'silakan', 'boikot', 'pelanggan', 'providername', 'pendukung', 'url']"
"Dibela belain daftarin kartu 4G tunggu sejam siang2 sambil puasa, sampai rumah sinyal 4Gnya gak ada, adanya di kota!, <PROVIDER_NAME>",negative,"['dibela', 'membela-bela', 'daftarin', 'kartu', 'tunggu', 'sejam', 'siang', 'puasa', 'rumah', 'sinyal', 'gnya', 'enggak', 'kota', 'providername']"
<PROVIDER_NAME> datanya kok sering hilang <PROVIDER_NAME>,negative,"['providername', 'datanya', 'hilang', 'providername']"
#internetlelet  <PROVIDER_NAME> ga sesuai iklan ,negative,"['providername', 'enggak', 'sesuai', 'iklan']"
<PROVIDER_NAME> <PROVIDER_NAME> kangen nih dapat kiriman pos marchandes nya <PROVIDER_NAME> langsung dari pak pos nya ,positive,"['providername', 'providername', 'kangen', 'kiriman', 'pos', 'marchandes', 'providername', 'langsung', 'pos']"
"yang katanya 150MBPS kecepatanya cuma 3kbps, kuota full. Ga bisa buka google? Udah bikin nguras uang dan baterai… <URL>",negative,"['mbps', 'kecepatanya', 'kbps', 'kuota', 'full', 'enggak', 'buka', 'google', 'nguras', 'uang', 'baterai', 'url']"
kuota #internet <PROVIDER_NAME> masih banyak tapi koneksi internetnya LAMBAT BANGET! #<PRODUCT_NAME> <PROVIDER_NAME> #4G #lte… <URL>,negative,"['kuota', 'providername', 'koneksi', 'internetnya', 'lambat', 'banget', 'productname', 'providername', 'url']"
Ampun... Sinyal 4G <PROVIDER_NAME> lemot seperti siput. Acara live streaming jadi terganggu. Mundur terus <PROVIDER_NAME>,negative,"['ampun', 'sinyal', 'providername', 'lemot', 'siput', 'acara', 'live', 'streaming', 'terganggu', 'mundur', 'providername']"
Jaringan <PROVIDER_NAME> di Nabire bagus? Itu hanya berita HOAX #HOAX <PROVIDER_NAME>,negative,"['jaringan', 'providername', 'nabire', 'bagus', 'berita', 'hoax', 'providername']"
Makin jelek jaringan di takalar <PROVIDER_NAME>,negative,"['jelek', 'jaringan', 'takalar', 'providername']"
Jadi stabil disini. <PROVIDER_NAME> <URL>,positive,"['stabil', 'providername', 'url']"
#CUG <PROVIDER_NAME> #Community Sangat Cocok Buat Komunikasi Antar :. - Keluarga. - Rekan Bisnis / Kerja. - Sekolah / Kampus. - Hubungan Jarak.,positive,"['providername', 'cocok', 'komunikasi', 'keluarga', 'rekan', 'bisnis', 'kerja', 'sekolah', 'kampus', 'hubungan', 'jarak']"
<PROVIDER_NAME> <PROVIDER_NAME> ini kualitas provider <PROVIDER_NAME> gangguan trouble mahal berhari2 #useless4g <URL>,negative,"['providername', 'providername', 'kualitas', 'provider', 'providername', 'gangguan', 'trouble', 'mahal', 'berhari', 'url']"
<PROVIDER_NAME> <PRODUCT_NAME> sinyalnya tai...,negative,"['providername', 'productname', 'sinyalnya', 'tahi']"
Jaringan internet <PROVIDER_NAME> di sumba timur parah....,negative,"['jaringan', 'internet', 'providername', 'sumba', 'timur', 'parah']"
